State,State/Tribal/Other,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
California,Highway Patrol:,Los Angeles County,,48,0,0,0,48,507,5,139,363,0
California,Highway Patrol:,Madera County,,0,0,0,0,0,140,0,41,99,0
California,Highway Patrol:,Marin County,,0,0,0,0,0,313,0,266,47,0
California,Highway Patrol:,Mariposa County,,0,0,0,0,0,11,0,9,2,0
California,Highway Patrol:,Mendocino County,,0,0,0,0,0,135,0,51,84,0
California,Highway Patrol:,Merced County,,0,0,0,0,0,430,0,94,336,0
California,Highway Patrol:,Modoc County,,2,0,0,0,2,7,0,3,4,0
California,Highway Patrol:,Mono County,,0,0,0,0,0,3,0,1,2,0
California,Highway Patrol:,Monterey County,,1,0,0,0,1,310,0,94,216,0
California,Highway Patrol:,Napa County,,0,0,0,0,0,26,0,16,10,0
California,Highway Patrol:,Nevada County,,1,0,0,0,1,101,0,18,83,0
California,Highway Patrol:,Orange County,,21,0,0,2,19,144,2,35,107,0
California,Highway Patrol:,Placer County,,6,0,0,0,6,193,6,58,129,0
California,Highway Patrol:,Plumas County,,0,0,0,0,0,19,0,7,12,0
California,Highway Patrol:,Riverside County,,13,0,0,0,13,83,7,20,56,0
California,Highway Patrol:,Sacramento County,,13,1,0,0,12,"3,105",3,"1,374","1,728",0
California,Highway Patrol:,San Benito County,,0,0,0,0,0,8,0,4,4,0
California,Highway Patrol:,San Bernardino County,,34,0,0,1,33,152,0,65,87,1
California,Highway Patrol:,San Diego County,,43,0,0,0,43,143,1,50,92,0
California,Highway Patrol:,San Francisco County,,1,0,0,0,1,40,0,17,23,0
California,Highway Patrol:,San Joaquin County,,0,0,0,0,0,571,0,172,399,0
California,Highway Patrol:,San Luis Obispo County,,0,0,0,0,0,108,0,42,66,0
California,Highway Patrol:,San Mateo County,,1,0,0,0,1,38,1,24,13,0
California,Highway Patrol:,Santa Barbara County,,0,0,0,0,0,181,0,52,129,0
California,Highway Patrol:,Santa Clara County,,0,0,0,0,0,65,0,28,37,0
California,Highway Patrol:,Santa Cruz County,,0,0,0,0,0,501,0,178,323,0
California,Highway Patrol:,Shasta County,,0,0,0,0,0,284,1,78,205,0
California,Highway Patrol:,Sierra County,,0,0,0,0,0,0,0,0,0,0
California,Highway Patrol:,Siskiyou County,,1,0,0,0,1,54,1,21,32,0
California,Highway Patrol:,Solano County,,0,0,0,0,0,31,0,12,19,0
California,Highway Patrol:,Sonoma County,,0,0,0,0,0,136,1,88,47,0
California,Highway Patrol:,Stanislaus County,,0,0,0,0,0,318,0,116,202,0
California,Highway Patrol:,Sutter County,,0,0,0,0,0,47,0,13,34,0
California,Highway Patrol:,Tehama County,,0,0,0,0,0,149,1,57,91,0
California,Highway Patrol:,Trinity County,,0,0,0,0,0,47,0,21,26,0
California,Highway Patrol:,Tulare County,,0,0,0,0,0,701,1,146,554,21
California,Highway Patrol:,Tuolumne County,,0,0,0,0,0,136,0,63,73,0
California,Highway Patrol:,Ventura County,,0,0,0,0,0,36,0,9,27,0
California,Highway Patrol:,Yolo County,,0,0,0,0,0,47,0,16,31,0
California,Highway Patrol:,Yuba County,,0,0,0,0,0,411,0,92,319,0
California,Metropolitan State Hospital,,,"1,181",0,10,1,"1,170",8,2,6,0,1
California,Napa State Hospital,,,328,0,5,0,323,2,0,2,0,0
California,Patton State Hospital,,,356,0,2,0,354,1,1,0,0,0
California,Porterville Developmental Center,,,62,0,2,0,60,4,2,2,0,0
California,Tribal Agencies,Hoopa Valley Tribal,,32,0,0,0,32,54,25,25,4,0
California,La Jolla Tribal,,,8,0,0,1,7,9,2,7,0,1
California,Sycuan Tribal,,,38,0,0,1,37,68,18,29,21,0
California,Table Mountain Rancheria,,,3,0,0,1,2,249,20,205,24,0
California,Yurok Tribal,,,1,0,0,0,1,15,3,12,0,0
California,Other Agencies,Clovis Unified School District,,13,0,0,0,13,20,3,17,0,0
California,East Bay Regional Park District,,,44,0,3,21,20,357,73,274,10,12
California,Fontana Unified School District,,,31,0,3,10,18,70,8,56,6,1
California,Kern High School District,,,41,0,0,4,37,158,48,101,9,6
California,Los Angeles County Metropolitan Transportation Authority,,,6,0,0,0,6,21,0,20,1,0
California,Los Angeles Transportation Services Bureau,,,150,0,7,74,69,155,5,131,19,1
California,Monterey Peninsula Airport,,,0,0,0,0,0,9,0,6,3,0
California,Port of San Diego Harbor,,,75,0,8,20,47,655,65,585,5,0
California,San Bernardino Unified School District,,,67,0,3,53,11,264,124,129,11,10
California,San Francisco Bay Area Rapid Transit:,Alameda County,,282,2,2,227,51,"1,796",13,"1,634",149,4
California,San Francisco Bay Area Rapid Transit:,Contra Costa County,,61,0,4,34,23,676,2,592,82,0
California,San Francisco Bay Area Rapid Transit:,San Francisco County,,132,0,0,104,28,624,4,619,1,0
California,San Francisco Bay Area Rapid Transit:,San Mateo County,,24,0,1,13,10,345,1,332,12,0
California,Santa Clara Transit District,,,92,0,3,36,53,116,4,97,15,0
California,Shasta County Marshal,,,2,0,0,0,2,0,0,0,0,0
California,Stockton Unified School District,,,38,0,0,20,18,130,31,98,1,0
California,Twin Rivers Unified School District,,,21,0,0,16,5,103,70,25,8,0
California,Union Pacific Railroad:,Alameda County,,1,0,0,0,1,29,20,9,0,0
California,Union Pacific Railroad:,Amador County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Butte County,,0,0,0,0,0,16,1,15,0,0
California,Union Pacific Railroad:,Calaveras County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Colusa County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Contra Costa County,,0,0,0,0,0,2,0,2,0,0
California,Union Pacific Railroad:,El Dorado County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Fresno County,,0,0,0,0,0,3,0,3,0,0
California,Union Pacific Railroad:,Glenn County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Humboldt County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Imperial County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Inyo County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Kern County,,0,0,0,0,0,71,19,52,0,0
California,Union Pacific Railroad:,Kings County,,0,0,0,0,0,1,1,0,0,0
California,Union Pacific Railroad:,Lassen County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Los Angeles County,,1,0,0,0,1,"1,933","1,462",471,0,2
California,Union Pacific Railroad:,Madera County,,0,0,0,0,0,1,1,0,0,0
California,Union Pacific Railroad:,Marin County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Mendocino County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Merced County,,0,0,0,0,0,2,0,2,0,0
California,Union Pacific Railroad:,Modoc County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Monterey County,,0,0,0,0,0,2,1,1,0,0
California,Union Pacific Railroad:,Napa County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Nevada County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Orange County,,1,0,0,1,0,4,2,2,0,0
California,Union Pacific Railroad:,Placer County,,0,0,0,0,0,9,1,8,0,0
California,Union Pacific Railroad:,Plumas County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Riverside County,,1,0,0,0,1,25,13,12,0,1
California,Union Pacific Railroad:,Sacramento County,,0,0,0,0,0,2,1,1,0,0
California,Union Pacific Railroad:,San Benito County,,0,0,0,0,0,1,1,0,0,0
California,Union Pacific Railroad:,San Bernardino County,,2,0,0,0,2,43,33,10,0,0
California,Union Pacific Railroad:,San Francisco County,,1,0,0,0,1,1,0,1,0,0
California,Union Pacific Railroad:,San Joaquin County,,0,0,0,0,0,170,11,159,0,3
California,Union Pacific Railroad:,San Luis Obispo County,,0,0,0,0,0,2,0,2,0,0
California,Union Pacific Railroad:,San Mateo County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Santa Barbara County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Santa Clara County,,1,0,0,0,1,3,0,3,0,0
California,Union Pacific Railroad:,Santa Cruz County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Shasta County,,0,0,0,0,0,5,1,4,0,0
California,Union Pacific Railroad:,Sierra County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Siskiyou County,,0,0,0,0,0,2,0,2,0,0
California,Union Pacific Railroad:,Solano County,,0,0,0,0,0,18,1,17,0,0
California,Union Pacific Railroad:,Sonoma County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Stanislaus County,,0,0,0,0,0,4,0,4,0,0
California,Union Pacific Railroad:,Sutter County,,0,0,0,0,0,1,1,0,0,0
California,Union Pacific Railroad:,Tehama County,,0,0,0,0,0,4,0,4,0,0
California,Union Pacific Railroad:,Trinity County,,0,0,0,0,0,0,0,0,0,0
California,Union Pacific Railroad:,Tulare County,,0,0,0,0,0,2,1,1,0,0
California,Union Pacific Railroad:,Ventura County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Yolo County,,0,0,0,0,0,1,0,1,0,0
California,Union Pacific Railroad:,Yuba County,,0,0,0,0,0,2,0,2,0,0
Colorado,State Agencies,Colorado Bureau of Investigation,,0,0,0,0,0,1,0,0,1,0
Colorado,State Agencies,Colorado Mental Health Institute,,0,0,0,0,0,0,0,0,0,0
Colorado,State Agencies,State Patrol,,24,0,0,1,23,16,1,3,12,0
Colorado,Tribal Agencies,Southern Ute Tribal,,14,0,1,0,13,26,4,20,2,0
Colorado,Tribal Agencies,Ute Mountain Tribal,,29,0,1,0,28,33,5,17,11,4
Colorado,Other Agencies,All Crimes Enforcement Team,,0,0,0,0,0,0,0,0,0,0
Colorado,Other Agencies,Delta Montrose Drug Task Force,,0,0,0,0,0,0,0,0,0,0
Colorado,Other Agencies,Southwest Drug Task Force,,0,0,0,0,0,0,0,0,0,0
Connecticut,State Agencies,Connecticut State Police,,237,9,67,34,127,"1,717",365,"1,060",292,13
Connecticut,State Agencies,Department of Energy and Environmental Protection2,,5,0,1,0,4,27,0,27,0,0
Connecticut,State Agencies,Department of Motor Vehicles,,0,0,0,0,0,0,0,0,0,0
Connecticut,State Agencies,State Capitol Police,,0,0,0,0,0,2,0,2,0,0
Connecticut,Tribal Agencies,Mashantucket Pequot Tribal,,15,0,8,0,7,175,0,173,2,0
Connecticut,Tribal Agencies,Mohegan Tribal,,9,0,3,1,5,243,4,237,2,0
Connecticut,Other Agencies,Metropolitan Transportation Authority,,5,0,0,1,4,62,0,61,1,0
Delaware,State Agencies,Alcohol and Tobacco Enforcement,,0,0,0,0,0,1,0,1,0,0
Delaware,Animal Welfare:,Kent County,,0,0,0,0,0,0,0,0,0,0
Delaware,Animal Welfare:,New Castle County,,0,0,0,0,0,0,0,0,0,0
Delaware,Animal Welfare:,Sussex County,,0,0,0,0,0,0,0,0,0,0
Delaware,Attorney General,New Castle County,,2,0,0,0,2,4,0,4,0,0
Delaware,Environmental Control,,,0,0,0,0,0,9,1,8,0,0
Delaware,Fish and Wildlife,,,0,0,0,0,0,22,3,19,0,0
Delaware,Park Rangers,,,3,0,0,1,2,88,20,67,1,2
Delaware,River and Bay Authority,,,8,0,0,0,8,8,3,5,0,0
Delaware,State Capitol Police,,,0,0,0,0,0,19,1,18,0,0
Delaware,State Fire Marshal,,,8,0,0,0,8,3,3,0,0,110
Delaware,State Police:,Headquarters,,0,0,0,0,0,1,0,1,0,0
Delaware,State Police:,Kent County,,287,0,44,25,218,909,204,608,97,0
Delaware,State Police:,New Castle County,,434,6,28,137,263,"4,275",255,"3,814",206,0
Delaware,State Police:,Sussex County,,410,3,37,19,351,"2,377",551,"1,734",92,1
Delaware,Other Agencies,Amtrak Police,,0,0,0,0,0,16,0,14,2,0
District of Columbia,Other Agencies,District of Columbia Fire and Emergency Medical Services,Arson Investigation Unit,0,0,0,0,0,0,0,0,0,159
District of Columbia,Metro Transit Police,,,507,0,3,354,150,856,3,818,35,3
Florida,State Agencies,Capitol Police,,0,0,0,0,0,14,2,11,1,0
Florida,"Department of Corrections, Office of the Inspector General:",Alachua County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Baker County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Bay County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Bradford County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Brevard County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Broward County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Calhoun County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Charlotte County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Citrus County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Clay County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Collier County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Columbia County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",DeSoto County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Dixie County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Duval County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Escambia County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Flagler County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Franklin County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Gadsden County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Gilchrist County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Glades County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Gulf County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Hamilton County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Hardee County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Hendry County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Hernando County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Highlands County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Hillsborough County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Holmes County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Indian River County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Jackson County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Jefferson County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Lafayette County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Lake County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Lee County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Leon County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Levy County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Liberty County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Madison County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Manatee County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Marion County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Martin County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Miami-Dade County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Monroe County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Nassau County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Okaloosa County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Okeechobee County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Orange County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Osceola County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Palm Beach County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Pasco County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Pinellas County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Polk County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Putnam County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Santa Rosa County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Sarasota County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Seminole County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",St. Johns County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",St. Lucie County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Sumter County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Suwannee County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Taylor County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Union County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Volusia County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Wakulla County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Walton County,,0,0,0,0,0,0,0,0,0,0
Florida,"Department of Corrections, Office of the Inspector General:",Washington County,,0,0,0,0,0,0,0,0,0,0
Florida,Department of Law Enforcement:,"Duval County, Jacksonville",,0,0,0,0,0,4,0,0,4,0
Florida,Department of Law Enforcement:,"Escambia County, Pensacola",,2,0,1,0,1,0,0,0,0,0
Florida,Department of Law Enforcement:,"Hillsborough County, Tampa",,0,0,0,0,0,2,0,2,0,0
Florida,Department of Law Enforcement:,"Lee County, Fort Myers",,1,0,0,0,1,0,0,0,0,0
Florida,Department of Law Enforcement:,"Leon County, Tallahassee",,0,0,0,0,0,4,0,4,0,0
Florida,Department of Law Enforcement:,"Miami-Dade County, Miami",,0,0,0,0,0,0,0,0,0,0
Florida,Department of Law Enforcement:,"Orange County, Orlando",,3,1,2,0,0,9,0,9,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Alachua County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Baker County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Bay County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Bradford County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Brevard County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Broward County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Calhoun County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Charlotte County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Citrus County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Clay County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Collier County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Columbia County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,DeSoto County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Dixie County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Duval County,,0,0,0,0,0,0,0,0,0,0
Florida,Division of Alcoholic Beverages and Tobacco:,Escambia County,,0,0,0,0,0,0,0,0,0,0
